File Name, Sol, Camera, Spherules
0001mr0000000010100001c00_drcx.tif, 0001, mr, No 
0017mr0000500000100072c00_drcx.tif, 0017, mr, No 
0017mr0000500010100073c00_drcx.tif, 0017, mr, No 
0017mr0000500020100074c00_drcx.tif, 0017, mr, No 
0017mr0000500030100075c00_drcx.tif, 0017, mr, No 
0017mr0000500040100076c00_drcx.tif, 0017, mr, No 
0017mr0000500050100077c00_drcx.tif, 0017, mr, No 
0017mr0000500060100078c00_drcx.tif, 0017, mr, No 
0017mr0000500070100079c00_drcx.tif, 0017, mr, No 
0017mr0000500080100080c00_drcx.tif, 0017, mr, No 
0017mr0000500090100081c00_drcx.tif, 0017, mr, No 
0017mr0000500100100082c00_drcx.tif, 0017, mr, No 
0017mr0000500110100083c00_drcx.tif, 0017, mr, No 
0017mr0000500120100084c00_drcx.tif, 0017, mr, No 
0017mr0000500130100085c00_drcx.tif, 0017, mr, No 
0017mr0000500140100086c00_drcx.tif, 0017, mr, No 
0017mr0000500150100087c00_drcx.tif, 0017, mr, No 
0017mr0000500160100088c00_drcx.tif, 0017, mr, No 
0017mr0000500170100089c00_drcx.tif, 0017, mr, No 
0017mr0000500180100090c00_drcx.tif, 0017, mr, No 
0017mr0000500190100091c00_drcx.tif, 0017, mr, No 
0017mr0000500200100092c00_drcx.tif, 0017, mr, No 
0017mr0000500210100093c00_drcx.tif, 0017, mr, No 
0017mr0000500220100094c00_drcx.tif, 0017, mr, No 
0017mr0000500230100095c00_drcx.tif, 0017, mr, No 
0017mr0000500240100096c00_drcx.tif, 0017, mr, No 
0017mr0000500250100097c00_drcx.tif, 0017, mr, No 
0017mr0000500260100098c00_drcx.tif, 0017, mr, No 
0017mr0000500270100099c00_drcx.tif, 0017, mr, No 
0017mr0000500280100100c00_drcx.tif, 0017, mr, No 
0017mr0000500290100101c00_drcx.tif, 0017, mr, No 
0017mr0000500300100102c00_drcx.tif, 0017, mr, No 
0017mr0000500320100104c00_drcx.tif, 0017, mr, No 
0017mr0000500330100105c00_drcx.tif, 0017, mr, No 
0017mr0000510000100106c00_drcx.tif, 0017, mr, No 
0017mr0000510010100107c00_drcx.tif, 0017, mr, No 
0017mr0000510020100108c00_drcx.tif, 0017, mr, No 
0017mr0000510030100109c00_drcx.tif, 0017, mr, No 
0017mr0000510040100110c00_drcx.tif, 0017, mr, No 
0017mr0000510050100111c00_drcx.tif, 0017, mr, No 
0017mr0000510060100112c00_drcx.tif, 0017, mr, No 
0017mr0000510070100113c00_drcx.tif, 0017, mr, No 
0017mr0000510080100114c00_drcx.tif, 0017, mr, No 
0017mr0000510090100115c00_drcx.tif, 0017, mr, No 
0017mr0000510100100116c00_drcx.tif, 0017, mr, No 
0017mr0000510110100117c00_drcx.tif, 0017, mr, No 
0017mr0000510120100118c00_drcx.tif, 0017, mr, No 
0017mr0000510130100119c00_drcx.tif, 0017, mr, No 
0017mr0000510140100120c00_drcx.tif, 0017, mr, No 
0017mr0000510150100121c00_drcx.tif, 0017, mr, No 
0017mr0000550000100122c00_drcx.tif, 0017, mr, No 
0017mr0000550010100123c00_drcx.tif, 0017, mr, No 
0017mr0000550020100124c00_drcx.tif, 0017, mr, No 
0017mr0000550030100125c00_drcx.tif, 0017, mr, No 
0017mr0000550040100126c00_drcx.tif, 0017, mr, No 
0017mr0000550050100127c00_drcx.tif, 0017, mr, No 
0017mr0000550060100128c00_drcx.tif, 0017, mr, No 
0017mr0000550070100129c00_drcx.tif, 0017, mr, No 
0017mr0000550080100130c00_drcx.tif, 0017, mr, No 
0017mr0000550090100131c00_drcx.tif, 0017, mr, No 
0017mr0000550100100132c00_drcx.tif, 0017, mr, No 
0017mr0000550110100133c00_drcx.tif, 0017, mr, No 
0017mr0000550120100134c00_drcx.tif, 0017, mr, No 
0017mr0000550130100135c00_drcx.tif, 0017, mr, No 
0017mr0000550140100136c00_drcx.tif, 0017, mr, No 
0017mr0000550150100137c00_drcx.tif, 0017, mr, No 
0019mr0000530000100138c00_drcx.tif, 0019, mr, No 
0019mr0000530010100139c00_drcx.tif, 0019, mr, No 
0019mr0000530020100140c00_drcx.tif, 0019, mr, No 
0019mr0000530030100141c00_drcx.tif, 0019, mr, No 
0019mr0000530040100142c00_drcx.tif, 0019, mr, No 
0019mr0000530050100143c00_drcx.tif, 0019, mr, No 
0019mr0000530060100144c00_drcx.tif, 0019, mr, No 
0019mr0000530070100145c00_drcx.tif, 0019, mr, No 
0019mr0000530080100146c00_drcx.tif, 0019, mr, No 
0019mr0000530090100147c00_drcx.tif, 0019, mr, No 
0019mr0000530100100148c00_drcx.tif, 0019, mr, No 
0019mr0000530110100149c00_drcx.tif, 0019, mr, No 
0019mr0000530120100150c00_drcx.tif, 0019, mr, No 
0019mr0000530130100151c00_drcx.tif, 0019, mr, No 
0019mr0000530140100152c00_drcx.tif, 0019, mr, No 
0019mr0000530150100153c00_drcx.tif, 0019, mr, No 
0019mr0000540000100170c00_drcx.tif, 0019, mr, No 
0019mr0000540010100171c00_drcx.tif, 0019, mr, No 
0019mr0000540020100172c00_drcx.tif, 0019, mr, No 
0019mr0000540030100173c00_drcx.tif, 0019, mr, No 
0019mr0000540040100174c00_drcx.tif, 0019, mr, No 
0019mr0000540050100175c00_drcx.tif, 0019, mr, No 
0019mr0000540060100176c00_drcx.tif, 0019, mr, No 
0019mr0000540070100177c00_drcx.tif, 0019, mr, No 
0019mr0000540080100178c00_drcx.tif, 0019, mr, No 
0019mr0000540090100179c00_drcx.tif, 0019, mr, No 
0019mr0000540100100180c00_drcx.tif, 0019, mr, No 
0019mr0000540110100181c00_drcx.tif, 0019, mr, No 
0019mr0000540120100182c00_drcx.tif, 0019, mr, No 
0019mr0000540130100183c00_drcx.tif, 0019, mr, No 
0019mr0000540140100184c00_drcx.tif, 0019, mr, No 
0019mr0000540150100185c00_drcx.tif, 0019, mr, No 
0019mr0000540160100186c00_drcx.tif, 0019, mr, No 
0019mr0000540170100187c00_drcx.tif, 0019, mr, No 
0019mr0000540180100188c00_drcx.tif, 0019, mr, No 
0019mr0000540190100189c00_drcx.tif, 0019, mr, No 
0019mr0000540200100190c00_drcx.tif, 0019, mr, No 
0019mr0000540210100191c00_drcx.tif, 0019, mr, No 
0019mr0000540220100192c00_drcx.tif, 0019, mr, No 
0019mr0000540230100193c00_drcx.tif, 0019, mr, No 
0019mr0000540240100194c00_drcx.tif, 0019, mr, No 
0019mr0000540250100195c00_drcx.tif, 0019, mr, No 
0019mr0000540260100196c00_drcx.tif, 0019, mr, No 
0019mr0000540270100197c00_drcx.tif, 0019, mr, No 
0019mr0000540280100198c00_drcx.tif, 0019, mr, No 
0019mr0000540290100199c00_drcx.tif, 0019, mr, No 
0019mr0000540300100200c00_drcx.tif, 0019, mr, No 
0019mr0000540310100201c00_drcx.tif, 0019, mr, No 
0019mr0000540320100202c00_drcx.tif, 0019, mr, No 
0019mr0000540330100203c00_drcx.tif, 0019, mr, No 
0019mr0000540340100204c00_drcx.tif, 0019, mr, No 
0019mr0000540350100205c00_drcx.tif, 0019, mr, No 
0019mr0000540360100206c00_drcx.tif, 0019, mr, No 
0019mr0000540370100207c00_drcx.tif, 0019, mr, No 
0019mr0000540380100208c00_drcx.tif, 0019, mr, No 
0019mr0000540390100209c00_drcx.tif, 0019, mr, No 
0019mr0000540400100210c00_drcx.tif, 0019, mr, No 
0019mr0000540410100211c00_drcx.tif, 0019, mr, No 
0019mr0000540420100212c00_drcx.tif, 0019, mr, No 
0019mr0000540430100213c00_drcx.tif, 0019, mr, No 
0019mr0000540440100214c00_drcx.tif, 0019, mr, No 
0019mr0000540450100215c00_drcx.tif, 0019, mr, No 
0019mr0000540460100216c00_drcx.tif, 0019, mr, No 
0019mr0000540470100217c00_drcx.tif, 0019, mr, No 
0019mr0000540480100218c00_drcx.tif, 0019, mr, No 
0019mr0000540490100219c00_drcx.tif, 0019, mr, No 
0019mr0000540500100220c00_drcx.tif, 0019, mr, No 
0019mr0000540510100221c00_drcx.tif, 0019, mr, No 
0019mr0000540520100222c00_drcx.tif, 0019, mr, No 
0019mr0000540530100223c00_drcx.tif, 0019, mr, No 
0019mr0000540540100224c00_drcx.tif, 0019, mr, No 
0019mr0000540550100225c00_drcx.tif, 0019, mr, No 
0019mr0000540560100226c00_drcx.tif, 0019, mr, No 
0019mr0000540570100227c00_drcx.tif, 0019, mr, No 
0019mr0000540580100228c00_drcx.tif, 0019, mr, No 
0019mr0000540590100229c00_drcx.tif, 0019, mr, No 
0019mr0000540600100230c00_drcx.tif, 0019, mr, No 
0019mr0000540610100231c00_drcx.tif, 0019, mr, No 
0019mr0000540620100232c00_drcx.tif, 0019, mr, No 
0019mr0000540630100233c00_drcx.tif, 0019, mr, No 
0019mr0000540640100234c00_drcx.tif, 0019, mr, No 
0019mr0000540650100235c00_drcx.tif, 0019, mr, No 
0019mr0000540660100236c00_drcx.tif, 0019, mr, No 
0019mr0000540670100237c00_drcx.tif, 0019, mr, No 
0019mr0000540680100238c00_drcx.tif, 0019, mr, No 
0019mr0000540690100239c00_drcx.tif, 0019, mr, No 
0019mr0000540700100240c00_drcx.tif, 0019, mr, No 
0019mr0000540710100241c00_drcx.tif, 0019, mr, No 
0019mr0000540720100242c00_drcx.tif, 0019, mr, No 
0019mr0000540730100243c00_drcx.tif, 0019, mr, No 
0019mr0000540740100244c00_drcx.tif, 0019, mr, No 
0019mr0000540750100245c00_drcx.tif, 0019, mr, No 
0019mr0000540760100246c00_drcx.tif, 0019, mr, No 
0019mr0000540770100247c00_drcx.tif, 0019, mr, No 
0019mr0000540780100248c00_drcx.tif, 0019, mr, No 
0019mr0000540790100249c00_drcx.tif, 0019, mr, No 
0019mr0000540800100250c00_drcx.tif, 0019, mr, No 
0019mr0000540810100251c00_drcx.tif, 0019, mr, No 
0019mr0000540820100252c00_drcx.tif, 0019, mr, No 
0019mr0000540830100253c00_drcx.tif, 0019, mr, No 
0019mr0000540840100254c00_drcx.tif, 0019, mr, No 
0019mr0000540850100255c00_drcx.tif, 0019, mr, No 
0019mr0000590000100154c00_drcx.tif, 0019, mr, No 
0019mr0000590010100155c00_drcx.tif, 0019, mr, No 
0019mr0000590020100156c00_drcx.tif, 0019, mr, No 
0019mr0000590030100157c00_drcx.tif, 0019, mr, No 
0019mr0000590040100158c00_drcx.tif, 0019, mr, No 
0019mr0000590050100159c00_drcx.tif, 0019, mr, No 
0019mr0000590060100160c00_drcx.tif, 0019, mr, No 
0019mr0000590070100161c00_drcx.tif, 0019, mr, No 
0019mr0000590080100162c00_drcx.tif, 0019, mr, No 
0019mr0000590090100163c00_drcx.tif, 0019, mr, No 
0019mr0000590100100164c00_drcx.tif, 0019, mr, No 
0019mr0000590110100165c00_drcx.tif, 0019, mr, No 
0019mr0000590120100166c00_drcx.tif, 0019, mr, No 
0019mr0000590130100167c00_drcx.tif, 0019, mr, No 
0019mr0000590140100168c00_drcx.tif, 0019, mr, No 
0019mr0000590150100169c00_drcx.tif, 0019, mr, No 
0020mr0000520000100257c00_drcx.tif, 0020, mr, No 
0020mr0000520010100258c00_drcx.tif, 0020, mr, No 
0020mr0000520020100259c00_drcx.tif, 0020, mr, No 
0020mr0000520030100260c00_drcx.tif, 0020, mr, No 
0020mr0000520040100261c00_drcx.tif, 0020, mr, No 
0020mr0000520050100262c00_drcx.tif, 0020, mr, No 
0020mr0000520060100263c00_drcx.tif, 0020, mr, No 
0020mr0000520070100264c00_drcx.tif, 0020, mr, No 
0020mr0000520080100265c00_drcx.tif, 0020, mr, No 
0020mr0000520090100266c00_drcx.tif, 0020, mr, No 
0020mr0000520100100267c00_drcx.tif, 0020, mr, No 
0020mr0000520110100268c00_drcx.tif, 0020, mr, No 
0020mr0000520120100269c00_drcx.tif, 0020, mr, No 
0020mr0000520130100270c00_drcx.tif, 0020, mr, No 
0020mr0000520140100271c00_drcx.tif, 0020, mr, No 
0020mr0000520150100272c00_drcx.tif, 0020, mr, No 
0020mr0000560000100273c00_drcx.tif, 0020, mr, No 
0020mr0000560010100274c00_drcx.tif, 0020, mr, No 
0020mr0000560020100275c00_drcx.tif, 0020, mr, No 
0020mr0000560030100276c00_drcx.tif, 0020, mr, No 
0020mr0000560040100277c00_drcx.tif, 0020, mr, No 
0020mr0000560050100278c00_drcx.tif, 0020, mr, No 
0020mr0000560060100279c00_drcx.tif, 0020, mr, No 
0020mr0000560070100280c00_drcx.tif, 0020, mr, No 
0020mr0000560080100281c00_drcx.tif, 0020, mr, No 
0020mr0000560090100282c00_drcx.tif, 0020, mr, No 
0020mr0000560100100283c00_drcx.tif, 0020, mr, No 
0020mr0000560110100284c00_drcx.tif, 0020, mr, No 
0020mr0000560120100285c00_drcx.tif, 0020, mr, No 
0020mr0000560130100286c00_drcx.tif, 0020, mr, No 
0020mr0000560140100287c00_drcx.tif, 0020, mr, No 
0020mr0000560150100288c00_drcx.tif, 0020, mr, No 
0020mr0000570000100289c00_drcx.tif, 0020, mr, No 
